id paper,doi,approches,approche simplifié,main method,other method,Application,score,times cited,weighted score,results,year,title,abstract,associated main word,Quartile,journal or conference,Publication type,Data used,keywords,keywords_plus,etat,commentaires
155,10.3390/rs17142485,based on spectral indices,based on spectral indices,"NDVI, MSI",,mangrove mapping and monitoring,1.019,0,,,2025,Assessing Mangrove Forest Recovery in the British Virgin Islands After Hurricanes Irma and Maria with Sentinel-2 Imagery and Google Earth Engine,"Mangroves form the dominant coastal plant community of low-energy tropical intertidal habitats and provide critical ecosystem services to humans and the environment. However, more frequent and increasingly powerful hurricanes and storm surges are creating additional pressure on the natural resilience of these threatened coastal ecosystems. Advances in remote sensing techniques and approaches are critical to providing robust quantitative monitoring of post-storm mangrove forest recovery to better prioritize the often-limited resources available for the restoration of these storm-damaged habitats. Here, we build on previously utilized spatial and temporal ranges of European Space Agency (ESA) Sentinel satellite imagery to monitor and map the recovery of the mangrove forests of the British Virgin Islands (BVI) since the occurrence of back-to-back category 5 hurricanes, Irma and Maria, on September 6 and 19 of 2017, respectively. Pre- to post-storm changes in coastal mangrove forest health were assessed annually using the normalized difference vegetation index (NDVI) and moisture stress index (MSI) from 2016 to 2023 using Google Earth Engine. Results reveal a steady trajectory towards forest health recovery on many of the Territory's islands since the storms' impacts in 2017. However, some mangrove patches are slower to recover, such as those on the islands of Virgin Gorda and Jost Van Dyke, and, in some cases, have shown a continued decline (e.g., Prickly Pear Island). Our work also uses a linear ANCOVA model to assess a variety of geospatial, environmental, and anthropogenic drivers for mangrove recovery as a function of NDVI pre-storm and post-storm conditions. The model suggests that roughly 58% of the variability in the 7-year difference (2016 to 2023) in NDVI may be related by a positive linear relationship with the variable of population within 0.5 km and a negative linear relationship with the variables of northwest aspect vs. southwest aspect, island size, temperature, and slope.",vegetation index,Q1,MDPI (Remote Sensing),journal,Sentinel-2,mangrove recovery; forest health; hurricanes Irma and Maria; google earth engine; sentinel satellite imagery; NDVI; MSI,VEGETATION INDEX; SEA-LEVEL; ECOSYSTEMS; ELEVATION; IMPACTS; HEIGHT; FISH,lu,
1073,10.1007/s12237-025-01492-6,based on spectral indices,based on spectral indices,NDMI,,mangrove mapping,0.934,2,,,2025,Spatial Distribution of Relict Inland Mangrove (Rhizophora mangle L.) in the San Pedro River Basin: A Transboundary Analysis between Mexico and Guatemala,"Inland mangroves represent a unique ecosystem that develops away from coastal areas in response to specific environmental changes. Despite their ecological value, these ecosystems are often underestimated globally. Remote sensing (RS) techniques are widely used for large-scale monitoring of mangroves worldwide. This study aims to map mangrove relicts (Rhizophora mangle L.) in the Transboundary San Pedro River Basin (TSPRB), which spans Mexico and Guatemala, using RS and geographic information system (GIS) techniques. Field surveys were conducted to collect 419 ground points, distributed across the control (274 points) and verification (145 points), ensuring accurate classification of mangrove areas. To evaluate the performance of mangrove forest classification, we used composite images created from the red (B2), green (B3), blue (B4), and near-infrared (NIR) bands, along with the Normalized Difference Mangrove Index (NDMI). For this purpose, we applied the maximum likelihood classification (MLC) method, which effectively combines spectral information from composite images to achieve precise mangrove detection. The land cover classification was performed using Sentinel-2 from 2023 and the NDMI, achieving an accuracy of 80% and a Kappa Index of 0.73. The results show 2130.69 ha of mangroves along the San Pedro River. It includes 1868.38 ha in Mexico and 262.31 ha in Guatemala. In addition, areas were identified in Guatemala, where relict island mangroves are located the greatest distance from the coast worldwide (approximately 250 km). These findings highlight the ecological importance of mangrove ecosystems in this region and provide critical information for their management, conservation, and protection in the TSPRB.",mangrove mapping,Q1,Springer (Estuaries and Coasts),journal,Sentinel-2,Sentinel-2; Remote sensing; Vegetation indices; Mangrove mapping; Relict island mangrove,FORESTS,inacessible,
1178,10.1109/ENC60556.2023.10508601,based on spectral indices,based on spectral indices,NDVI,TATSSI,mangrove mapping and monitoring,0,1,,,2024,Time Series Analyses for Sentinel-2 NDVI on Mangroves in Northwestern Mexico (2016-2022),"We employed the most recent version of our open source software 'Tools for Analyzing Time Series of Satellite Imagery (TATSSI)' to analyze a Sentinel-2 monthly NDVI time series from 2016 to 2022 recorded at Bahia Magdalena (BM), Baja California Sur, Mexico. Our analyses on the NDVI's dynamics allowed us to discuss the apparent gain and loss of mangrove's vegetation in some polygons of interest. As to for the whole BM's mangrove vegetation, we found significant increasing and decreasing linear trends in 31 and 8% of the area, respectively. In addition to these gradual changes in the NDVI, we determined the spatiotemporal distribution of their abrupt changes; our approach determined 2017 as the year with the most area affected by an abrupt change. In passing, we also discussed the new features of TATSSI as well as its performance across several computational systems.",mangrove vegetation,néant,2023 IEEE Mexican International Conference on Computer Science (ENC),conference,Sentinel-2,Sentinel-2; time series; statistical trend analyses; changepoint estimation; NDVI; Bahia Magdalena; mangrove vegetation; TATSSI; open source software,,inacessible,
1180,10.1088/1748-9326/abae2c,based on spectral indices,based on spectral indices,"EVI, NDVI",,mangrove mapping,2.144,24,,,2020,"Topography, drainage capability, and legacy of drought differentiate tropical ecosystem response to and recovery from major hurricanes","High-carbon sequestrations of tropical montane forests and coastal mangroves have been greatly disturbed by intensified extreme climate events such as alternating hurricanes and droughts. However, few studies of the hurricane impact have taken into consideration the legacy of past climate events and analyzed the heterogeneity of hurricane impacts between montane forests and coastal mangroves. Here, we studied the impact of Hurricanes Irma and Maria in 2017 on coastal mangroves and upland forests in Puerto Rico after a severe drought during 2015-2016. We investigated the island-wide immediate impact on greenness using fused vegetation index from Sentinel-2 and Landsat-8, and the impact on and the recovery of 62 homogeneous vegetation patches by deriving an impact index and one-year recovery ratio (RR). A linear mixed-effect model was applied to explore roles of hurricane wind, rainfall, topography, and biological components in the impact and the recovery. Island-wide, the immediate impact is highly spatial-heterogeneous. Although most of the island was browned, a green-up strip in the dry south showed benefits from the hurricane rain which relieved the prior drought stress. Coastal mangroves experienced the greatest impact and slowest recovery with relative recovery of 0.44 compared to recovery greater than 0.70 for upland forests, and evergreen forests sustained significantly more damage than deciduous forests. The recovery of evergreen forests was on average 11 days earlier and faster than that of mangroves. Mangrove recovery was mostly limited by inundation-related factors such as elevation, slope, and drainage capacity. While higher elevation relates to slower recovery for upland forests, it favors mangrove recovery. Particularly, mangrove recovery is facilitated by river presence, explaining 65% variation in RR. The differentiated response, recovery, and underlying mechanisms highlighted a complicated array of external forces, geophysical/ biological modulators, and legacy of past climate events in determining and understanding hurricanes' impact on tropical ecosystems.",mangrove forests,Q1,Environmental Research Letters,journal,Sentinel-2,major hurricane; tropical forest; coastal mangrove; ecosystem resistance; ecosystem resilience; intensified climate variability; legacy of climate event,SEA-LEVEL; MANGROVE FORESTS; CLIMATE-CHANGE; DAMAGE; TREES; WIND; STABILITY; FREQUENCY; DYNAMICS; PATTERNS,elimine,
164,10.1016/j.jenvman.2022.115507,based on spectral indices,based on spectral indices,NDII,,mangrove mapping and monitoring,1.994,20,,,2022,"Assessing mangrove species diversity, zonation and functional indicators in response to natural, regenerated, and rehabilitated succession","The United Nations Decade on Ecosystem restoration (2021-2030) lists mangrove ecosystems as a restoration priority. Interest in their conservation has increased recently due to their widespread degradation. Anthropogenic stressors and rehabilitation practices, specifically, have resulted in a significant decline in their species compositions. We investigated the knowledge gaps in terms of potential spatial diversity, intertidal zonation, and the historic state of mangrove forest species, and tested the role of environmental factors such as topography, as well as rehabilitation practices on diversity. Diversity and complexity indices, surface elevation, and species and structural diversities along three simplified transect lines over a broad geographical area and under various management practices were analyzed in Trat province, Thailand. Quantitative statistical zonation analyses within each transect and at the landscape-scale were performed using randomization tests and hierarchical cluster analysis. A modified automatic regrowth monitoring algorithm (ARMA), based on Landsat (1987-2020) and Sentinel-2 MSI (2015-2020) annual median composites was also used. Fifteen species were identified, with Ceriops tagal as the dominant species. Statistical analysis, however, failed to identify any significant zonation patterns at transect or landscape-scales at specific elevations. Rehabilitated and naturally regenerated stands showed gradual increases in their Normalized Difference Infrared Index over time. After 30 years, the rehabilitated stands made up of Rhizophoraceae monocultures were the same height as the adjacent natural stands. Depending on the location and propagule availability, the diversity and structure of regenerated stands exhibited high variation. Effluent from shrimp farms may have contributed to the disturbance of the forest stands and changes in shrimp farming practices could have facilitated their recovery. The results of the present study provide a valuable diversity baseline for the study site and secondary succession in rehabilitated and regenerated mangroves. The ARMA algorithm has also been confirmed as a valuable tool for future investigations of secondary succession and mangrove biodiversity status.",mangrove conservation,Q1,Journal of Environmental Management,journal,"Sentinel-2, Landsat",Landsat composites; Mangrove conservation; Plantation; Randomization; Thailand; Trat province,CERIOPS TAGAL; FOREST; VEGETATION; RESTORATION; IMPACT; GROWTH; INDEX; BAY; ESTABLISHMENT; COLONIZATION,elimine,
964,10.1002/rse2.257,based on spectral indices,based on spectral indices,NDVI,,mangrove change detection,1.271,25,,,2022,Radar and optical remote sensing for near real-time assessments of cyclone impacts on coastal ecosystems,"Rapid impact assessment of cyclones on coastal ecosystems is critical for timely rescue and rehabilitation operations in highly human-dominated landscapes. Such assessments should also include damage assessments of vegetation for restoration planning in impacted natural landscapes. Our objective is to develop a remote sensing-based approach combining satellite data derived from optical (Sentinel-2), radar (Sentinel-1), and LiDAR (Global Ecosystem Dynamics Investigation) platforms for rapid assessment of post-cyclone inundation in non-forested areas and vegetation damage in a primarily forested ecosystem. We apply this multi-scalar approach for assessing damages caused by the cyclone Amphan that hit coastal India and Bangladesh in May 2020, severely flooding several districts in the two countries, and causing destruction to the Sundarban mangrove forests. Our analysis shows that at least 6821 sq. km. land across the 39 study districts was inundated even after 10 days after the cyclone. We further calculated the change in forest greenness as the difference in normalized difference vegetation index (NDVI) pre- and post-cyclone. Our findings indicate a <0.2 unit decline in NDVI in 3.45 sq. km. of the forest. Rapid assessment of post-cyclone damage in mangroves is challenging due to limited navigability of waterways, but critical for planning of mitigation and recovery measures. We demonstrate the utility of Otsu method, an automated statistical approach of the Google Earth Engine platform to identify inundated areas within days after a cyclone. Our radar-based inundation analysis advances current practices because it requires minimal user inputs, and is effective in the presence of high cloud cover. Such rapid assessment, when complemented with detailed information on species and vegetation composition, can inform appropriate restoration efforts in severely impacted regions and help decision makers efficiently manage resources for recovery and aid relief. We provide the datasets from this study on an open platform to aid in future research and planning endeavors.",mangrove forests,Q1,ZSL (Remote Sensing in Ecology and Conservation),,"Sentinel-1, Sentinel-2, Lidar",Amphan; cyclone; mangrove; rapid assessment; Sentinel; Sundarban,TROPICAL CYCLONES; MANGROVE FORESTS; CLIMATE; BANGLADESH; CONSERVATION; MORTALITY,elimine,ecosystéme côtiers
648,10.12911/22998993/149821,based on spectral indices,based on spectral indices,NDVI,,mangrove change detection,0.408,16,,,2022,"Land Cover Changes and Impacts of Massive Siltation on the Mangrove Segara Anakan Lagoon System, Cilacap Indonesia","Changing coastal zones in Indonesia, such as coral reefs. seagrass, and mangroves, have an impact on tropical ecosystems. Excessive exploitation and sedimentation, in particular, have threatened the mangrove at Segara Anakan Cilacap. In order to evaluate temporal land cover changes and the impact of high siltation on the Segara Anakan lagoon system in Cilacap, Indonesia, a research was conducted. The land cover data from SPOT 4 was available in 2008, and the Sentinel-2A data was available in 2019. The Normalized Difference Vegetation Index (NDVI) was used to enhance the Macro Class with supervised classification utilizing Maximum Likelihood techniques. Mangroves and water bodies declined between 2009 and 2019, whereas settlements and farmland areas increased, according to this study. In the western part of Segara Anakan. extensive siltation altered the biomass, structure. and composition of mangrove vegetation. At high sedimented habitats, Acanthus and Derris dominate, followed by Nypa. The changes in land cover and land use had an impact on socioeconomic factors. Decreases in water bodies and mangrove areas, as well as an increase in farmland, were significantly linked to a shift in society's livelihoods from fishermen to farmers. The destruction of mangrove habitats in the Segara Anakan has been accelerated by anthropogenic activity and population pressure. Because this sensitive environment is constantly threatened by anthropogenic activity and climate change, effective management of the Segara Anakan Lagoon mangrove eco-system is important for its long-term viability.",environmental changes,Q2,Journal of Ecological Engineering,journal,"Sentinel-2, SPOT-4",sedimentation; livelihoods change; coastal; Sentinel; land use,ENVIRONMENTAL-CHANGES; JAVA; LIVELIHOODS; MANAGEMENT,elimine,
1143,10.1109/InGARSS59135.2023.10490339,based on spectral indices,based on spectral indices,NDVI,,mangrove mapping and monitoring,0,1,,,2023,Temporal analysis of mangrove species distribution in the mangroves of Pichavaram and Bhitarkanika,"Mangrove ecosystems are crucial coastal habitats that provide essential ecological services and also play a vital role in coastal protection. This study attempted to assess the temporal dynamics of mangrove species distribution and seasonal variation of NDVI in Pichavaram and Bhitarkanika mangrove forests. The species distribution changes between the years 2019 and 2023 were investigated by classifying temporal Sentinel-2 multispectral satellite data. The species representative sample locations from ground truth were used to obtain the species specific trends in NDVI from 2019 to 2023. The species distribution change results show a significant transition between the major mangrove patches and mixed patches. The time series analysis of NDVI for different species shows a decreasing trend in general for both study areas, which implies that there is a stress in both the mangrove ecosystems that could be a phenological change or due to the prevailing climatic conditions.",mangrove species,néant,2023 IEEE India Geoscience and Remote Sensing Symposium,conference,Sentinel-2,mangroves;Sentinel;SVM;NDVI;change detection;land cover change,,elimine,
145,10.5343/bms.2024.0001,based on spectral indices,based on spectral indices,NDVI,,mangrove mapping,0.345,0,,,2025,"Application of open access data for documenting mangrove cover, cover change, and uncertainty in Panama","Current maps of mangrove cover and analyses of change are often focused on global patterns and can differ widely in their conclusions at finer scales. As part of a regional effort to generate detailed open-source maps of mangrove cover for Central American countries, we used Sentinel-2 MSI satellite imagery and Google Earth Engine to generate a 10 m resolution map of mangrove cover for Panama for 2020. We estimated total mangrove cover at 1836.9 (SE 157.6) km(2), an additional 308.8 km(2) compared to the Global Mangrove Watch v3.0 estimate based on Landsat, ALOS PALSAR, and Sentinel data at a coarser resolution. To determine if this discrepancy was due to differences in the spatial resolution of source data or training points and workflow, we applied our workflow to 2020 Landsat 8 OLI data and estimated 1853.0 (SE 123.5) km(2) of mangrove cover for Panama, similar to the result of the Sentinel-2 analysis and an additional 324.8 km(2) compared to the Global Mangrove Watch estimate. To understand impacts of different management types on mangrove cover, we estimated cover for 1999 using Landsat 5 TM data for comparison with our 2020 estimate from Landsat data. Although we estimated that total national mangrove cover was 98.0 km(2) (+5.6%) higher in 2020 than in 1999, this difference was smaller than the standard error of either estimate and we cannot definitively conclude that mangrove cover increased. On the Pacific coast, cover increased in unprotected areas while it decreased in areas within the National System of Protected Areas (SINAP). On the Caribbean coast, estimated mangrove cover increased slightly in protected areas and decreased outside SINAP.",mangrove cover,Q3,Bulletin of Marine Science,journal,"Sentinel-2, Landsat, ALOS PALSAR, SRTM",,ECOSYSTEMS; ACCURACY; FORESTS; SERVICE; AREAS; INDEX,elimine,
1102,10.1016/j.rsma.2020.101455,based on spectral indices,based on spectral indices,"NDVI, CMRI",,mangrove change detection,0.600,24,,,2020,Spatiotemporal dynamics of mangrove forests in the Andaman and Nicobar Islands (India),"Mangrove forests provide multiple ecosystem services, such as primary production, coastal area protection, carbon fixation, and function as habitat for various plant and animal species. Despite the fact that these plant communities have proven effective in coastal area protection against typhoons and tsunamis, the 2004 Indian Ocean Tsunami caused the destruction of a large areas of mangrove forests in the Andaman and Nicobar islands in the Bay of Bengal. In this study, we investigated the decadal changes in mangrove forests in this region, including the decline in the mangrove areas before and after the 2004 Tsunami and the recent changes in the tsunami devastated mangrove areas since then, using Landsat series and Sentinel 2 data. In order to understand how these mangrove forests survive under the sea level rising scenarios, we estimated the possible changes in the land cover when a 1m rise in the current sea level occurs. It is estimated that 15% of the mangrove areas in this region were lost between 1988 and 2018. Even though the overall mangrove areas were shrinking, its causes are relatively different from the north to the south of the Andaman Islands. While the mangrove forests in the southern regions can be affected by natural phenomena such as tsunamis and sea level rise, those in the northern region are being depleted due to logging and land use changes. It is estimated that a 1m rise in the current sea level will result in the loss of 17% (117 km(2)) of the mangrove areas (the inward migration of mangrove vegetation was not considered). (C) 2020 Elsevier B.V. All rights reserved.",mangrove forests,Q1,Elsevier (Regional Studies in Marine Science),journal,"Sentinel-2, Landsat",2004 Indian Ocean Tsunami; Andaman mangroves; Mangrove remote sensing; Mangrove regeneration,INDEX; ECOSYSTEMS; DIVERSITY; BIOMASS,elimine,
992,10.3390/su16135311,based on spectral indices,based on spectral indices,"NDVI, EVI, NIMI, BSI",,mangrove change detection,0.688,3,,,2024,Remote Sensing-Based LULP Change and Its Effect on Ecological Quality in the Context of the Hainan Free Trade Port Plan,"The study of Land Use and Landscape Patterns (LULPs) changes and their ecological quality effects in Haikou city under the background of the Hainan Free Trade Port Plan (HFTPP) helps to promote coordinated development between cities and the environment. To date, most research on ecological quality has focused on areas with extremely fragile ecology and/or is related to LULP analysis. There are few studies in the literature focusing on the impact of high-intensity human activities caused by relevant policies on urban LULPs. The purpose of this research was to design a framework that monitors urban ecological security by considering the effect of the developing free trade port. The proposed framework was constructed by integrating multi-temporal Sentinel-2 remote sensing images, night light remote sensing data, digital elevation model (DEM) data, and spectral index features such as the normalized difference vegetation index (NDVI), enhanced vegetation index (EVI), bare soil index (BSI), and normalized intertidal mangrove index (NIMI), as well as analytical approaches such as the land use transfer matrix, land use dynamic degree, land use degree and transfer matrix, land use gravity center measurement, and landscape pattern index. The framework takes advantage of the Google Earth Engine (GEE) cloud platform and was applied to a highly developed Haikou city, the capital of Hainan province. Maps of brightness (SBI), greenness (GVI), and humidity (WET) were created annually from 2016 to 2021, enabling detailed ecological environment quality evaluation and analysis. The advantages of this study are (1) reliable land cover results obtained automatically and quickly; (2) the strong objectivity of the quantitative research on landscape patterns and land use; and (3) deep integration with free trade port policies. Through the research on the ecological quality problems caused by the change in LULP in the study area, the research results show that, from 2016 to 2021, the spatial distribution of land use and landscape pattern in Haikou city had been constantly changing; the area of construction land has decreased, with most of it having been converted into forest land and farmland; the gravity center of the building land has moved to the northwest; the degree of landscape fragmentation has decreased and the heterogeneity of landscape distribution has increased; the free trade port policies have promoted Haikou's economic development and ecological civilization construction; and finally, Haikou's ecological environmental quality has improved significantly.",mangrove index,Q1,MDPI (Sustainability),journal,"Sentinel-2, DEM, night light data",LULP; ecological quality; Google Earth Engine (GEE); Hainan Free Trade Port Plan (HFTPP),LAND-USE CHANGE; CROPLAND EXTENT; LANDSCAPE,elimine,used ENVI tool
365,10.3389/frsen.2021.730238,based on spectral indices,based on spectral indices,"NDVI, MNDWI, MVI, MCARI",,mangrove mapping,1.052,21,,,2021,Development of a Rapid Mangrove Zonation Mapping Workflow Using Sentinel 2-Derived Indices and Biophysical Dataset,"Moderate to high resolution satellite imageries are commonly used in mapping mangrove cover from local to global scales. In addition to extent information, studies such as mangrove composition, ecology, and distribution analysis require further information on mangrove zonation. Mangrove zonation refers to unique sections within a mangrove forest being dominated by a similar family, genus, or species. This can be observed both in natural and planted mangrove forests. In this study, a mapping workflow was developed to detect zonation in test mangrove forest sites in Katunggan-It Ibajay (KII) Ecopark (Aklan), Bintuan (Coron), Bogtong, and Sagrada (Busuanga) in the Philippines and Fukido Mangrove Park (Ishigaki, Japan) using Sentinel-2 imagery. The methodology was then applied to generate a nationwide mangrove zonation map of the Philippines for year 2020. Combination of biophysical products, water, and vegetation indices were used as classification inputs including leaf area index (LAI), fractional vegetation cover (FVC), fraction of photosynthetically-active radiation (FAPAR), Canopy chlorophyll content (Cab), canopy water content (Cw), Normalized Difference Vegetation Index (NDVI), modified normalized difference water index (MNDWI), modified chlorophyll absorption in reflectance index (MCARI), and red-edge inflection point (REIP). Mangrove extents were first mapped using either the Maximum Likelihood Classification (MLC) algorithm or the Mangrove Vegetation Index (MVI)-based methodology. The biophysical and vegetation indices within these areas were stacked and transformed through Principal Component Analysis (PCA). Regions of Interest (ROIs) were selected on the PCA bands as training input to the MLC. Results show that mangrove zonation maps can highlight the major mangrove zones in the study sites, commonly limited up to genera level only except for genera with only one known species thriving in the area. Four zones were detected in KII Ecopark: Avicennia zone, Nypa zone, Avicennia mixed with Nypa zone, and mixed mangroves zones. For Coron and Busuanga, the mapped mangrove zones are mixed mangroves, Rhizophora zone and sparse/damaged zones. Three zones were detected in Fukido site: Rhizophora stylosa-dominant zone, Bruguiera gymnorrhiza-dominant zone, and mixed mangrove zones. The zonation maps were validated using field plot data and orthophotos generated from Unmanned Aerial System (UAS) surveys, with accuracies ranging from 75 to 100%.",mangrove extent,Q1,Frontiers in Remote Sensing,journal,Sentinel-2,mangrove forest; mangrove zonation; mangrove extent; Sentinel-2; biophysical layers,LEAF-AREA INDEX; LAND-COVER; CHLOROPHYLL CONCENTRATION; VEGETATION INDEX; HYPERION DATA; FOREST; CLASSIFICATION; ISLANDS; LAI; DISCRIMINATION,elimine,éliminer un article dans une base écologique
1176,10.1088/1755-1315/564/1/012065,based on spectral indices,based on spectral indices,OIF,,mangrove species classification,0.214,6,,,2020,The use of sentinel 2A imageries to improve mangrove inventarization at coremap CTI monitoring areas,"In 2014, the project preparation for Coral Reef Management (Coremap) CTI claim that mangrove at Selayar was approximately 676.7 hectares distributed at 15 villages. Tambolongan at Bontosikuyu district was the largest area of about 132 hectares. These values extracted using Landsat imageries based on visual and composite image classification. Since Sentinel 2A launched in 2015, the use of this satellite imagery has spread widely in ecosystem monitoring due to its higher spatial, spectral and temporal resolution and mostly because it is free to access. Nevertheless, field sampling is still needed to crosscheck the final result. Since 2015 three mangrove locations at Selayar island monitored annually. By 2018, two new locations at Pasi island added. In 2019 three sites added at two different islands, so now a total nine mangrove station covering the whole Selayar islands. Nine species of mangroves were found by the end of 2019 monitoring, which are Avicennia alba, A. officinalis, A. marina, Bruguiera gymnorrhiza, Rhizophora apiculata, R. mucronata, R. stylosa, Cerios tagal, and Sonneratia alba. Spectral image characterization by using 12 bands of Sentinel 2A shows that most of these mangroves had peak reflectances at 783 and 865 nanometer, and the highest reflectance are lower than 0.45. These findings may contribute to better spatial identifications for mangrove monitoring and also the consequences to the revision of previous information extracted from Landsat imageries.",mangrove monitoring,néant,IOP Conference Series: Earth and Environmental Science,conference,Sentinel-2,,SPATIAL-RESOLUTION; FOREST,elimine,
31,10.1016/j.ecolind.2024.111696,based on spectral indices,based on spectral indices,"LAI, NNP",,mangrove mapping and mangrove species classification,1.959,12,,,2024,"A cost-effective method to map mangrove forest extent, composition, and condition in small islands based on Sentinel-2 data: Implications for management","Despite their ecological, economic, and social importance, mangrove ecosystems suffer from high levels of degradation caused by a combination of anthropogenic stressors and the effects of climate change. Their degradation inevitably reduces the provision of ecosystem services and ultimately impacts human well-being, especially in coastal communities of Small Islands Developing States (SIDS). To timely identify and manage stressors causing local mangrove degradation, in situ monitoring is required. However, the financial means and human capacity to do so are often limited in SIDS, hampering adequate management of their mangrove forests. In search of a cost-effective alternative, we evaluated the use of Sentinel-2 satellites to monitor mangrove extent and species distribution in Lac Bay, a bay located on the small tropical island of Bonaire (Caribbean Netherlands). We also evaluated the mangrove's ecological condition through two biophysical variables 1) Effective Leaf Area Index (LAIe) and 2) Net Primary Productivity (NPP). Our results showed that Sentinel-2 data are a valuable tool for mapping the extent of mangrove forests in Bonaire and species composition (mean overall accuracy > 95 %). Using five Sentinel-2 images from 2021 and 2022, the extent of mangrove forests in Lac Bay was estimated to be on average 222.3 ha, of which 136.0 ha were classified as Rhizophora mangle (red mangrove) and 77.1 ha as Avicennia germinans (black mangrove). Mean values for predicted LAIe ranged from 3.37 to 3.85 for Lac Bay, with significantly higher values in the wet season (3.82 +/- 0.57) compared to the dry season (3.40 +/- 0.56). The generic Simplified Level-2 Prototype Processor (SL2P) underestimated the LAIe values in Lac Bay, with moderate differences between SL2P values and in situ data (BDE = 0.41, RMSE = 1.09). Mean NPP values were estimated to be 8.82 +/- 1.46 (g Cm-2 d -1). LAIe and NPP maps showed a zonal distribution, with highest values in the mid-West and East on the seaward side, and lowest values in the northern landward part of Lac Bay. The method developed in this study provides a cost-effective way to monitor the extent, composition, and ecological condition of mangrove forests, which can be used by small island states to make informed decisions about the management and protection of mangrove ecosystems.",vegetation indexes,Q1,Science direct (Ecological indicators),journal,Sentinel-2,Leaf Area Index; Net Primary Productivity; SL2P; Ecological condition; Coastal monitoring,LEAF-AREA INDEX; NET PRIMARY PRODUCTIVITY; VEGETATION INDEXES; HYPERSPECTRAL DATA; GREEN LAI; TERRESTRIAL; MODEL; VALIDATION; ECOSYSTEM; DISCRIMINATION,doute,
1097,10.1038/s41598-025-12689-x,Deep learning,Deep learning,CNN,,mangrove mapping and monitoring,0.874,3,"0,5714285714",,2025,Spatiotemporal analysis of mangroves using median composites and convolutional neural network,"Mangroves play an important ecological role, but these are commonly misunderstood and undervalued. Climatic change and increase in sea level cause risk to these ecosystems. Hence, tracking the extent of mangroves leads to proper management and restoring the damaged ones. Existing index methods for mapping the mangrove extent often struggle with cloud cover, while the studies that feed direct image inputs to models face spatial resolution misalignment, limiting accurate analysis. To overcome these challenges this paper proposes a novel cloud-masked feature extraction (CMFE) approach, integrating bit masking, median compositing, and multi-band spectral sampling for precise mangrove analysis. Our approach utilizes multispectral imagery from United States Geological Survey (USGS) for Landsat 8 and Copernicus for Sentinel 2, leveraging quality assurance (QA) bands for cloud bit masking to nullify cloud and shadow pixels. Cloud cover obscures large portions of satellite imagery and reduces data availability. The median composite technique reconstructs missing or obscured information by aggregating temporal pixel statistics. Spectral and textural attributes are systematically extracted from multiple bands and structured into feature vectors, providing high-dimensional input, which overcomes the spatial resolution discrepancies. Extracted attributes are then fed to a deep learning-based model which classifies the mangroves into different density classes - sparse, moderate, and dense for mapping the dynamic changes over a decade from 2014 to 2024, focusing on Pichavaram Mangrove Forest, Tamil Nadu. The CMFE approach outperforms existing techniques, offering improved accuracy and resilience against cloud cover and spatial misalignment.",mangrove mapping,Q1,nature (scientific reports),journal,"Sentinel-2, Landsat",Remote sensing; Satellite imagery; Spatiotemporal analysis; Mangrove mapping; Bit masking; Convolutional neural network,CLOUD REMOVAL; IMAGERY; FOREST,non lu,
962,10.1109/IGARSS55030.2025.11243029,Deep learning,Deep learning,"CNN, QNN",,mangrove mapping,néant,0,"0,1428571429",,2025,Quantum-Assisted Mangrove Forest Mapping Algorithm,"Mangrove ecosystems have a high potential for carbon sequestration, making accurate mangrove mapping (MM) increasingly important for environmental monitoring. However, current benchmark index-based methods primarily focus on water/vegetation-related spectral bands while overlooking other potentially informative bands. To optimize the use of all available information, we utilize channel attention mechanisms in our framework to extract features from every channel, including those often overlooked yet informative ones. This approach enhances the accuracy of mangrove pixel classification. Accordingly, we further incorporate a quantum feature extraction (QFE) module to capture novel features. Unlike traditional convolutional neural networks (CNNs), which rely on affine mappings, quantum neural networks (QNNs) employ unitary operations to extract quantum features. Therefore, QFE captures radically new quantum features distilled by the QNN from a fundamentally different perspective, which provides additional information for decision-making. Specifically, we fuse two different channel attention features derived from both the CNN and QNN to generate the final classification results. Our experimental results indicate that integrating the CNN and QNN channel attention modules does yield promising outcomes, thereby demonstrating the potential of introducing the QNN to advance state-of-the-art MM techniques.",mangrove mapping,néant,IGARSS 2025 - 2025 IEEE International Geoscience and Remote Sensing Symposium,conference,Sentinel-2,Mangrove mapping;quantum computing;quantum deep learning;Sentinel-2 image;image classification;Sustainable Development Goals (SDGs),,non lu,
